 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,144228653,131565,282232,139210,174061,78237,71396,220835,297546,555112,97744,354680,291262,111657,260102,1166587,255057,120734,393422,239406,96392
aeroplane,198097,1353013,0,412,0,0,0,16,0,0,0,0,0,4208,0,4179,0,0,0,20,0
bicycle,236080,0,1967773,0,0,0,0,5050,9,3309,0,0,0,0,448,17072,8747,0,2308,0,0
bird,177041,7430,0,1404938,162,0,0,1211,0,0,0,0,3211,69,0,5185,0,30,0,0,0
boat,76763,0,0,0,886552,0,0,0,0,0,0,0,0,0,41405,11109,0,0,0,0,0
bottle,86070,0,653,0,0,583638,0,0,0,169,0,5470,0,0,0,4997,328,284,31,0,36
bus,138280,0,0,0,0,0,3064292,469,0,0,0,0,0,0,0,3895,0,0,0,3454,0
car,259769,0,1248,0,4848,0,3936,4091490,0,0,166,0,0,0,4024,9748,0,0,0,114,0
cat,319713,0,0,6583,0,4650,0,0,6144366,4617,0,1051,4856,0,0,17348,425,0,1925,10180,0
chair,487014,0,710,0,0,699,0,0,1208,2393358,0,30599,222,1578,0,58707,4388,0,78136,0,0
cow,185886,0,0,0,0,0,159,105,0,0,1361073,0,3572,94936,0,2,0,1141,0,0,0
diningtable,330868,0,0,0,0,13392,0,0,1818,23355,0,1436731,0,0,0,14159,4871,0,3020,0,0
dog,383786,0,33,0,0,75,0,824,7972,0,0,0,5509288,74,0,24946,0,0,9635,0,0
horse,107173,0,0,87,0,0,0,0,0,0,0,0,0,1382707,0,11771,0,0,0,0,0
motorbike,174118,0,3086,0,137,0,0,14337,0,0,0,0,0,0,2820768,33515,0,0,0,0,0
person,1422705,2122,46988,378,20619,27590,10265,16200,29081,44281,2001,17494,76687,40160,45274,13571562,8444,2117,83618,9814,3884
pottedplant,112809,0,512,0,0,0,0,0,1193,1746,0,1218,0,0,0,3355,866025,0,7144,0,0
sheep,79631,0,0,0,0,0,0,0,112,0,46351,0,0,0,940,576,0,1613255,0,0,0
sofa,416014,0,0,0,0,0,0,0,1639,36551,0,304,6310,0,0,48974,2573,0,2744828,0,0
train,263297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1223,0,0,0,3139253,0
tvmonitor,196725,0,0,0,0,150,0,0,272,139,0,0,0,0,0,2091,35,0,0,0,1256948
